code;name;baz_dot;rev_dot;osv_subv;med_subv;
05202100000;м. Авдіївка;;1485.50;20934.10;23395.90;
05203100000;м. Артемівськ;;3194.20;68614.20;68934.70;
10202100000;м. Бiла Церква;5271.00;;150054.00;137004.90;
06202100000;м. Бердичів;2983.50;;62121.70;52196.70;
08202100000;м. Бердянськ;10672.20;;77557.20;80815.40;
07202100000;м. Берегове;;;27774.40;15990.80;
19203100000;м. Бережани;2041.00;;15480.60;12895.90;
10201100000;м. Березань;;;13219.90;10882.10;
15202100000;м. Білгород-Дністровський;;;49936.50;37543.70;
09202100000;м. Болехів;7076.80;;29323.40;16387.80;
13202100000;м. Борислав;1242.80;;33191.90;24677.70;
10203100000;м. Бориспiль;;26312.40;51318.70;39134.30;
10204100000;м. Бровари;;6715.30;86107.70;64671.20;
09206100000;м. Бурштин;;6145.50;13118.50;10295.90;
10211100000;м. Буча;2134.80;;32941.00;20279.00;
10205100000;м. Василькiв;;1249.50;36947.40;24467.70;
23202100000;м. Ватутiне;5823.20;;12448.00;12127.00;
04202100000;м. Вiльногiрськ;;8161.70;15986.40;15896.00;
02201100000;м. Вінниця;;40481.30;277659.70;241755.00;
14202100000;м. Вознесенськ;1539.50;;34208.30;23979.50;
03202100000;м. Володимир-Волинський;;;30248.30;25151.90;
05204100000;м. Вугледар;;9779.10;13651.90;10021.30;
16206100000;м. Гадяч;;;15964.90;15828.30;
18202100000;м. Глухів;5760.10;;19605.30;22461.60;
21204100000;м. Гола Пристань;;;13359.30;9956.20;
05207100000;м. Дзержинськ;6982.20;;53829.50;49412.90;
05208100000;м. Димитров;;79.80;44499.90;33665.50;
04203100000;м. Днiпродзержинськ;;3946.50;188387.20;164978.00;
04201100000;м. Днiпропетровськ;;359721.40;679061.30;633286.30;
05209100000;м. Добропілля;;10250.10;66439.70;42020.50;
13203100000;м. Дрогобич;15908.50;;74966.60;64024.00;
05211100000;м. Дружківка;9156.10;;37846.20;46321.90;
17202100000;м. Дубно;4757.80;;31840.90;24998.40;
08203100000;м. Енергодар;;58959.70;46947.80;35508.80;
06201100000;м. Житомир;;34518.20;211188.50;175482.90;
02202100000;м. Жмеринка;;9835.80;35030.40;22971.10;
04204100000;м. Жовтi Води;;;31252.60;32069.90;
08201100000;м. Запоріжжя;;185199.40;485692.00;510327.00;
11202100000;м. Знам'янка;;13717.00;21447.90;19367.40;
23203100000;м. Золотоноша;315.30;;19619.70;19372.50;
09201100000;м. Івано-Франківськ;;20907.50;189118.90;158730.00;
15203100000;м. Ізмаїл;;;63640.10;48339.10;
20202100000;м. Ізюм;13753.10;;39317.60;34385.80;
15204100000;м. Іллічівськ;;22764.20;62382.00;;
10206100000;м. Iрпiнь;;12616.20;60145.30;51482.50;
09203100000;м. Калуш;;;54327.40;44282.70;
22202100000;м. Кам'янець-Подiльський;12717.20;;72615.20;65576.30;
23204100000;м. Канiв;;57.50;18006.10;16938.80;
21202100000;м. Каховка;;;28187.00;24893.40;
11201100000;м. Кіровоград;;20600.70;193132.10;158829.10;
03203100000;м. Ковель;4512.90;;65768.50;44501.40;
02203100000;м. Козятин;;12584.20;21335.70;16682.20;
09204100000;м. Коломия;6049.90;;50516.20;39685.50;
16202100000;м. Комсомольськ;;27964.00;40106.80;36226.50;
18203100000;м. Конотоп;;;51049.60;61402.70;
06203100000;м. Коростень;;;52349.00;43415.80;
05215100000;м. Костянтинівка;9336.50;;49924.60;51469.30;
15205100000;м. Котовськ;;;31961.90;26580.70;
05216100000;м. Краматорськ;;8521.40;127292.00;130429.40;
05218100000;м. Красноармійськ;;26342.70;59700.40;50982.80;
19204100000;м. Кременець;2814.60;;13888.40;14099.90;
16203100000;м. Кременчук;;41577.10;161667.40;149634.50;
04205100000;м. Кривий Рiг;;154738.00;505317.30;431940.90;
17203100000;м. Кузнецовськ;;35431.40;40730.90;25962.00;
20203100000;м. Куп'янськ;;;40177.30;38158.30;
02204100000;м. Ладижин;;8701.50;17560.70;15965.90;
18204100000;м. Лебедин;4341.00;;19036.20;17649.20;
12208100000;м. Лисичанськ;8652.20;;64242.10;78740.50;
20204100000;м. Лозова;;;46146.10;44332.70;
16204100000;м. Лубни;3516.50;;34659.20;31960.40;
03201100000;м. Луцьк;;12901.10;200903.90;139808.90;
13201100000;м. Львів;;177373.50;554218.40;493260.10;
20205100000;м. Люботин;2919.30;;19210.80;16603.90;
06205100000;м. Малин;;;22828.80;17710.90;
04206100000;м. Марганець;4713.70;;33662.50;32937.00;
05220100000;м. Маріуполь;;77047.80;298903.10;326694.10;
08204100000;м. Мелітополь;15519.80;;102783.50;104041.50;
14201100000;м. Миколаїв;;37806.60;309413.50;329559.70;
16205100000;м. Миргород;;;29429.10;27170.80;
02205100000;м. Могилів-Подільський;4239.30;;26693.70;20756.40;
13204100000;м. Моршин;;1552.30;4368.00;3995.50;
07203100000;м. Мукачеве;;8984.70;78204.80;55152.80;
04207100000;м. Нiкополь;;19716.00;90305.00;79253.90;
22203100000;м. Нетiшин;;17944.40;28858.00;23306.70;
25202100000;м. Ніжин;5185.90;;50307.40;47641.10;
21203100000;м. Нова Каховка;1026.30;;51797.90;46224.60;
25204100000;м. Новгород-Сіверський;521.60;;8421.20;9141.70;
13205100000;м. Новий Розділ;6454.80;;22109.40;18654.70;
03204100000;м. Нововолинськ;7038.00;;40491.70;38199.30;
06204100000;м. Новоград-Волинський;;1705.20;48216.20;36520.50;
05221100000;м. Новогродівка;;8294.20;10873.20;10215.50;
24202100000;м. Новодністровськ;;1796.60;8113.80;6998.00;
04208100000;м. Новомосковськ;9818.60;;57614.00;47468.20;
10212100000;м. Обухів;;14529.50;31774.00;21698.70;
15201100000;м. Одеса;;132213.70;758584.00;670066.50;
11203100000;м. Олександрія;22629.10;;66675.20;62026.30;
04209100000;м. Орджонiкiдзе;;1634.40;27923.50;28783.90;
17204100000;м. Острог;1497.10;;10162.20;9995.40;
18205100000;м. Охтирка;;1903.10;36270.00;32578.90;
14203100000;м. Очаків;;960.20;10616.20;9779.60;
04210100000;м. Павлоград;;;86049.20;72394.50;
14204100000;м. Первомайськ (Миколаївська обл.);16803.90;;51292.40;44556.60;
20206100000;м. Первомайський;8212.10;;22599.50;20478.70;
10207100000;м. Переяслав-Хмельницький;;;22954.70;18247.30;
04211100000;м. Першотравенськ;;4655.00;22603.40;19058.70;
16201100000;м. Полтава;;83050.40;206451.60;194259.60;
25203100000;м. Прилуки;;10863.60;41195.80;38960.60;
17201100000;м. Рiвне;;23234.60;188601.70;159933.30;
10208100000;м. Ржищів;895.70;;5041.30;4898.30;
18206100000;м. Ромни;;;35614.30;28351.00;
12211100000;м. Рубіжне;643.10;;31227.50;39919.60;
13206100000;м. Самбір;;;30109.70;22820.60;
11204100000;м. Світловодськ;9033.90;;31907.40;36792.30;
05222100000;м. Селидове;3541.40;;33024.10;36135.70;
12213100000;м. Сєверодонецьк;;;70723.50;80068.20;
04212100000;м. Синельникове;;;25710.70;20857.30;
22204100000;м. Славута;261.00;;30282.10;23351.30;
10209100000;м. Славутич;;25954.60;18400.10;15810.50;
05223100000;м. Слов'янськ;10176.50;;100068.40;90783.30;
23205100000;м. Смiла;;;49851.90;45164.50;
22205100000;м. Старокостянтинів;;;33234.30;23009.00;
13207100000;м. Стрий;;;50360.90;38770.90;
18201100000;м. Суми;;56401.30;193061.60;178679.80;
15206100000;м. Теплодар;3645.90;;7372.40;6534.90;
04213100000;м. Тернівка;;5151.70;24379.60;19162.30;
19201100000;м. Тернопіль;;16221.40;188813.40;140066.20;
08205100000;м. Токмак;7516.10;;22427.00;22203.60;
13208100000;м. Трускавець;;;15368.50;19697.20;
07201100000;м. Ужгород;;28356.50;109651.10;74389.20;
23206100000;м. Умань;9407.80;;62223.20;56639.40;
10210100000;м. Фастiв;;5099.50;43166.50;31651.40;
20201100000;м. Харків;;181402.20;882975.70;952762.00;
21201100000;м. Херсон;;;246998.10;222994.80;
22201100000;м. Хмельницький;;20074.30;217419.70;172897.30;
02206100000;м. Хмільник;3217.30;;22069.10;18825.80;
07204100000;м. Хуст;2085.10;;48071.40;20622.60;
13209100000;м. Червоноград;5016.40;;64216.00;54080.00;
23201100000;м. Черкаси;;29001.60;186310.50;188628.80;
24201100000;м. Чернівці;;;193165.70;170189.60;
25201100000;м. Чернігів;;;200301.30;193877.40;
07205100000;м. Чоп;;1347.50;7981.60;5776.70;
19202100000;м. Чортків;4151.50;;27924.90;18995.30;
20207100000;м. Чугуїв;;;26670.70;21891.10;
22206100000;м. Шепетiвка;;;48475.80;28409.40;
18207100000;м. Шостка;11750.30;;48246.60;52222.00;
15207100000;м. Южне;;29395.50;25030.80;20519.80;
14205100000;м. Южноукраїнськ;;29406.90;27858.00;26032.20;
09205100000;м. Яремче;2348.70;;29310.70;18319.50;
15301200000;Ананьївський р-н;6048.10;;33207.80;16325.50;
06301200000;Андрушівський р-н;4344.70;;36991.10;17412.70;
14301200000;Арбузинський р-н;;;27082.10;12192.20;
05302200000;Аpтемівський р-н;299.80;;53951.30;50045.90;
15302200000;Арцизький р-н;10786.20;;50295.30;27054.60;
20301200000;Балаклійський р-н;;5252.90;75951.70;49944.50;
15303200000;Балтський р-н;2811.20;;11419.60;5418.10;
06302200000;Баранівський р-н;11948.50;;39265.00;22053.20;
20302200000;Барвінківський р-н;2510.00;;28578.80;13838.50;
10301200000;Баришiвський р-н;1787.80;;47552.00;21843.50;
02301200000;Барський р-н;11507.60;;63527.70;32314.00;
25301200000;Бахмацький р-н;465.20;;45401.00;28482.50;
14302200000;Баштанський р-н;5630.40;;45700.30;22410.70;
06303200000;Бердичівський р-н;6286.30;;40017.60;17651.30;
08301200000;Бердянський р-н;1924.70;;26401.10;12782.50;
07301200000;Берегівський р-н;21021.70;;79341.20;30281.50;
19301200000;Бережанський р-н;9273.50;;31573.40;13219.20;
14303200000;Березанський р-н;2906.40;;31750.10;13987.40;
15304200000;Березівський р-н;4163.40;;32424.00;16037.70;
17301200000;Березнiвський р-н;22050.60;;132086.90;36805.80;
14304200000;Березнегуватський р-н;4309.60;;25250.80;12170.10;
21301200000;Бериславський р-н;13846.30;;49284.90;28751.80;
02302200000;Бершадський р-н;13494.20;;69749.90;36960.90;
15305200000;Білгород-Дністровський р-н;13041.20;;79376.50;32188.30;
12302200000;Біловодський р-н;2330.90;;31792.70;14661.90;
22301200000;Бiлогiрський  р-н;5741.40;;37997.80;16404.40;
21302200000;Білозерський р-н;15437.40;;72699.70;39467.80;
12303200000;Білокуракинський р-н;1169.90;;13533.20;3633.60;
18301200000;Бiлопiльський р-н;9284.60;;47379.50;31621.40;
10302200000;Бiлоцеркiвський р-н;;;57846.40;30477.60;
15306200000;Біляївський р-н;18057.80;;116533.40;46940.60;
20303200000;Близнюківський р-н;;;26518.90;11863.70;
11301200000;Бобринецький р-н;2061.50;;21712.30;8549.10;
25302200000;Бобровицький р-н;;;38193.70;21087.30;
20304200000;Богодухівський р-н;5554.30;;37841.90;23857.30;
09301200000;Богородчанський р-н;17263.80;;94122.00;40684.80;
10303200000;Богуславський р-н;5329.60;;36672.40;21519.70;
15307200000;Болградський р-н;22545.70;;67757.80;41026.10;
25303200000;Борзнянський р-н;5570.40;;33639.20;20634.00;
10304200000;Бориспiльський  р-н;;35633.10;63622.80;32051.70;
20305200000;Борівський р-н;1818.00;;22510.80;10423.20;
10305200000;Бородянський р-н;12743.20;;64646.00;33557.50;
19302200000;Борщівський р-н;12174.60;;42942.90;23787.80;
14305200000;Братський р-н;2087.50;;25384.40;10771.10;
10306200000;Броварський р-н;;2524.20;76080.50;34735.60;
13301200000;Бродівський  р-н;5953.00;;68244.30;33788.10;
06304200000;Брусилівський р-н;3284.20;;22986.70;9201.30;
18302200000;Буринський р-н;3486.60;;29710.90;16334.90;
13302200000;Буський р-н;12734.80;;57996.80;27580.70;
19303200000;Бучацький р-н;18540.20;;74055.90;31204.90;
20306200000;Валківський р-н;3683.10;;33557.80;19534.20;
25304200000;Варвинський р-н;;3854.80;18462.40;10183.50;
08302200000;Василівський р-н;;;62235.00;39204.60;
04302200000;Василькiвский р-н (Дніпропетровська обл.);7214.60;;35206.80;19880.70;
10307200000;Василькiвський р-н (Київська обл.);;;77526.10;35496.80;
16301200000;Великобагачанський р-н;1273.60;;22190.90;13202.30;
07302200000;Великоберезнянський р-н;7574.50;;35353.50;16639.20;
08303200000;Великобілозерський р-н;527.40;;13350.10;4917.80;
20307200000;Великобурлуцький р-н;;;27617.20;13721.40;
21303200000;Великолепетиський р-н;2575.80;;18014.80;10125.60;
15308200000;Великомихайлівський р-н;6346.90;;23869.50;10712.40;
05303200000;Великоновосілківський р-н;8233.70;;65814.20;24597.30;
21304200000;Великоолександрівський р-н;5194.50;;35904.20;15569.50;
18303200000;Великописарівський р-н;3356.60;;18890.20;12226.00;
04303200000;Верхньоднiпровський р-н;3358.60;;49308.10;32484.40;
21305200000;Верхньорогачицький р-н;3871.00;;13157.30;7281.20;
09302200000;Верховинський р-н;9609.70;;78963.70;22051.40;
14306200000;Веселинівський р-н;3935.80;;32825.20;13877.60;
08304200000;Веселівський р-н;1956.90;;14328.90;5346.00;
24301200000;Вижницький р-н;20144.00;;79671.00;33180.00;
07303200000;Виноградівський р-н;32503.80;;170888.70;69289.40;
21306200000;Високопільський р-н;2757.50;;11455.10;7168.80;
10308200000;Вишгородський р-н;;18203.20;79089.70;43518.70;
08305200000;Вільнянський р-н;6120.20;;51247.00;28930.30;
11302200000;Вільшанський р-н;1218.40;;15057.40;7860.80;
02303200000;Вінницький р-н;13649.90;;79255.50;47578.80;
22302200000;Вiньковецький  р-н;7429.60;;28719.30;15448.90;
20308200000;Вовчанський р-н;4743.50;;45619.40;28928.90;
14307200000;Вознесенський р-н;8771.10;;34273.80;18419.50;
05304200000;Волноваський р-н;2443.70;;112586.00;63057.00;
07304200000;Воловецький р-н;6636.60;;43891.30;17651.60;
05305200000;Володаpський р-н (Донецька обл.);3902.10;;31051.50;17578.50;
10309200000;Володарський р-н (Київська обл.);;238.00;20529.10;10973.10;
06305200000;Володарсько-Волинський р-н;4958.60;;26194.90;11361.60;
03301200000;Володимир-Волинський р-н;1913.40;;15366.00;7386.90;
17302200000;Володимирецький р-н;25507.30;;124293.50;36760.00;
22303200000;Волочиський р-н;755.90;;6813.60;2844.60;
14308200000;Врадіївський р-н;3930.70;;23696.50;10584.30;
16302200000;Гадяцький р-н;;;36242.90;18931.00;
11303200000;Гайворонський р-н;8992.50;;35611.50;23585.60;
02304200000;Гайсинський р-н;6480.40;;71963.00;35305.70;
09303200000;Галицький р-н;14792.50;;51030.50;27022.40;
21307200000;Генічеський р-н;15200.00;;62218.00;35875.70;
24302200000;Герцаївський р-н;13194.00;;50807.60;19204.20;
24303200000;Глибоцький р-н;26386.10;;85386.70;33147.20;
16303200000;Глобинський р-н;3696.00;;36804.50;18195.90;
18304200000;Глухiвський р-н;2546.60;;18484.60;11203.80;
11304200000;Голованівський р-н;;;33513.80;19450.50;
21308200000;Голопристанський р-н;17239.50;;62777.30;27227.60;
21309200000;Горностаївський р-н;3085.10;;26944.60;11725.10;
09304200000;Городенківський р-н;18766.50;;63155.70;32792.90;
23301200000;Городищенський р-н;8700.70;;38022.10;25459.30;
25305200000;Городнянський р-н;6795.00;;30608.20;17827.60;
13303200000;Городоцький р-н (Львівська обл.);17638.70;;80987.60;40969.00;
22304200000;Городоцький р-н (Хмельницька обл.);11633.00;;47613.90;25190.40;
03302200000;Горохівський р-н;17221.10;;78096.20;31328.50;
17303200000;Гощанський р-н;4867.40;;41331.30;16792.60;
16304200000;Гребінківський р-н;;1224.70;24709.00;13823.50;
08306200000;Гуляйпільський р-н;183.00;;30971.10;16706.10;
19304200000;Гусятинський р-н;15231.40;;61318.20;27873.00;
20309200000;Дворічанський р-н;1209.00;;21589.50;10988.70;
17304200000;Демидiвський р-н;4691.90;;20856.30;8739.90;
22305200000;Деражнянський  р-н;9147.00;;35752.40;19791.50;
20310200000;Дергачівський р-н;9567.00;;75222.00;57340.80;
16305200000;Диканський р-н;;1321.90;22281.10;11540.70;
04304200000;Днiпропетровський р-н;12696.00;;48887.50;31501.70;
05306200000;Добpопільський р-н;1528.60;;13862.90;8091.80;
11305200000;Добровеличківський р-н;;3479.90;40420.00;20998.40;
09305200000;Долинський р-н (Івано-Франківська обл.);;1543.20;122345.10;51700.80;
11306200000;Долинський р-н (Кіровоградська обл.);1132.90;;36360.70;20939.40;
14309200000;Доманівський р-н;5925.20;;28612.10;15237.90;
23302200000;Драбiвський р-н;3784.30;;39591.10;22048.20;
13304200000;Дрогобицький р-н;32774.90;;79128.70;45375.90;
17305200000;Дубенський р-н;13936.80;;67302.70;27353.70;
17306200000;Дубровицький р-н;14444.30;;63236.70;24492.90;
22306200000;Дунаєвецький  р-н;2029.30;;7068.00;4129.50;
14310200000;Єланецький р-н;2800.70;;18932.10;9271.70;
06307200000;Ємільчинський р-н;10821.80;;50649.60;20373.00;
23303200000;Жашкiвський р-н;;;51528.10;23118.40;
13305200000;Жидачівський р-н;15977.90;;64585.00;36319.10;
06308200000;Житомирський р-н;6902.00;;57020.30;38315.00;
02305200000;Жмеринський р-н;12190.00;;43466.10;21447.10;
13306200000;Жовківський р-н;33433.90;;148855.50;64058.20;
14311200000;Жовтневий р-н;;2522.40;59800.70;30195.30;
19305200000;Заліщицький р-н;16538.50;;58612.70;28853.60;
08307200000;Запорізький р-н;15925.40;;55884.70;35206.10;
17307200000;Зарiчненський р-н;14307.00;;64311.90;20520.60;
24304200000;Заставнівський р-н;19286.10;;64853.80;30114.00;
20311200000;Зачепилівський р-н;1010.80;;19592.10;9346.20;
19306200000;Збаразький р-н;18772.30;;69291.20;33183.10;
19307200000;Зборівський р-н;10650.60;;45739.90;21619.10;
23304200000;Звенигородський р-н;6998.10;;49900.40;27701.50;
10310200000;Згурiвський р-н;;585.70;22192.80;10478.40;
17308200000;Здолбунiвський р-н;7320.90;;65535.50;34080.50;
16306200000;Зінківський р-н;;;36199.60;21592.40;
20312200000;Зміївський р-н;4687.60;;64698.30;44415.40;
11307200000;Знам'янський р-н;;1020.90;31239.10;14178.70;
23305200000;Золотонiський р-н;1015.90;;57298.60;25939.40;
13307200000;Золочівський р-н (Львівська обл.);16251.50;;86661.40;41160.10;
20313200000;Золочівський р-н (Харківська обл.);4407.00;;31453.50;16474.40;
03303200000;Іваничівський р-н;3304.90;;49235.80;19322.10;
15309200000;Іванівський р-н (Одеська обл.);6390.40;;35550.90;15754.20;
21310200000;Іванівський р-н (Херсонська обл.);2857.80;;17208.10;8384.40;
10311200000;Iванкiвський р-н;;4237.80;37510.90;18325.80;
15310200000;Ізмаїльський р-н;18113.80;;65142.70;30365.80;
20314200000;Ізюмський р-н;91.00;;27955.40;10750.90;
22307200000;Iзяславський р-н;8232.00;;56740.70;27221.70;
02306200000;Іллінецький р-н;;;49279.90;22956.90;
07305200000;Іршавський р-н;41372.20;;144917.70;58405.60;
25306200000;Ічнянський р-н;;;26143.80;16344.00;
10312200000;Кагарлицький р-н;323.10;;37437.90;20712.50;
14312200000;Казанківський р-н;1219.90;;24057.00;11948.10;
21311200000;Каланчацький р-н;4722.50;;29365.00;13008.10;
02307200000;Калинівський р-н;9489.50;;50025.10;23086.40;
09306200000;Калуський р-н;21056.10;;53458.70;29323.50;
22308200000;Кам'янець-Подiльський р-н;13333.10;;45189.80;27768.20;
08308200000;Кам'янсько-Дніпровський р-н;12951.50;;42587.00;24775.70;
03304200000;Камінь-Каширський р-н;26496.80;;108780.40;36707.90;
13308200000;Кам'янка-Бузький р-н;2840.50;;69752.00;33827.30;
23306200000;Кам'янський р-н;4306.30;;30870.30;17447.60;
23307200000;Канiвський р-н;;5130.80;24632.30;12246.60;
16307200000;Карлівський р-н;1401.80;;41262.40;20869.70;
23308200000;Катеринопiльський р-н;1429.80;;16307.00;9004.80;
21312200000;Каховський р-н;6590.00;;41916.90;21202.90;
20315200000;Кегичівський р-н;;411.30;25235.50;12572.20;
24305200000;Кельменецький р-н;14830.70;;41932.60;25386.30;
10313200000;Києво-Святошинський р-н;;86422.00;178744.90;95638.50;
03305200000;Ківерцівський р-н;19980.40;;91958.70;37412.80;
15311200000;Кілійський р-н;15085.80;;59383.40;31159.80;
11308200000;Кіровоградський р-н;;3399.20;47639.40;22526.00;
24306200000;Кіцманський р-н;25089.00;;80463.90;41391.50;
16308200000;Кобеляцький р-н;3004.50;;42934.80;26369.80;
03306200000;Ковельський р-н;8894.40;;50823.90;16938.20;
15312200000;Кодимський р-н;9008.30;;32215.30;17950.80;
25307200000;Козелецький р-н;6279.00;;31491.60;21119.80;
16309200000;Козельщинський р-н;1776.80;;19880.00;12189.40;
19308200000;Козівський р-н;11840.00;;36400.20;20342.70;
02308200000;Козятинський р-н;7982.30;;60706.40;24821.40;
20316200000;Коломацький р-н;;;7504.90;4491.10;
09307200000;Коломийський р-н;35178.90;;101665.60;48668.30;
15313200000;Комінтернівський р-н;;8644.00;62864.10;35101.00;
11309200000;Компаніївський р-н;1112.20;;21971.30;9300.60;
18305200000;Конотопський р-н;6057.30;;26452.60;18744.60;
17309200000;Корецький р-н;11789.10;;55623.90;20262.30;
25308200000;Коропський р-н;6820.10;;24800.90;15090.80;
06309200000;Коростенський р-н;295.00;;44057.90;16939.50;
06310200000;Коростишівський р-н;9616.50;;47704.80;24365.90;
23309200000;Корсунь-Шевченкiвський р-н;;;39388.20;26961.20;
25309200000;Корюківський р-н;;;30433.90;16639.90;
09308200000;Косівський р-н;34644.70;;137741.90;62128.00;
17310200000;Костопiльський р-н;17576.50;;82679.80;38221.00;
05307200000;Костянтинівський р-н;;648.40;34249.10;11328.00;
16326200000;Котелевський р-н;35.80;;21198.90;11858.70;
15314200000;Котовський р-н;8876.20;;35512.70;16430.10;
22309200000;Красилiвський  р-н;3271.30;;68880.80;32272.10;
05308200000;Кpасноаpмійський р-н;;411.40;28029.10;19314.90;
20317200000;Красноградський р-н;;9424.70;46002.20;27188.10;
20318200000;Краснокутський р-н;3160.70;;31075.20;17390.20;
15315200000;Красноокнянський р-н;4598.50;;32910.10;11867.60;
18306200000;Краснопільський р-н;5478.20;;34050.60;17561.50;
19309200000;Кременецький р-н;14702.00;;64039.90;21057.30;
16310200000;Кременчуцький р-н;7573.50;;13901.00;11182.50;
12305200000;Кремінський р-н;8510.20;;40646.50;25103.20;
14313200000;Кривоозерський р-н;4528.80;;34044.70;15017.00;
04305200000;Криворiзький р-н;2683.90;;43305.00;27067.70;
02309200000;Крижопільський р-н;1076.70;;41540.70;20719.50;
04306200000;Криничанський р-н;3588.80;;42538.60;21610.00;
18307200000;Кролевецький р-н;10595.60;;35645.60;23926.00;
08309200000;Куйбишевський р-н;487.00;;9686.00;7817.80;
25310200000;Куликівський р-н;3960.60;;17474.90;11140.90;
20319200000;Куп'янський р-н;7022.00;;29884.30;15461.40;
19310200000;Лановецький р-н;8509.00;;38950.00;18004.40;
18308200000;Лебединський р-н;1903.10;;21712.30;12690.70;
22310200000;Летичiвський р-н;;;23.30;;
02310200000;Липовецький р-н;7996.50;;43586.30;23692.60;
18309200000;Липоводолинський р-н;1541.30;;20582.60;11672.00;
23310200000;Лисянський р-н;2431.10;;29335.60;14644.30;
02311200000;Літинський р-н;9192.80;;50816.30;22253.60;
20320200000;Лозівський р-н;2114.20;;32545.40;17916.70;
03307200000;Локачинський р-н;6233.80;;35696.80;13373.40;
16311200000;Лохвицький р-н;;;45858.60;26651.70;
16312200000;Лубенський р-н;5841.10;;37970.90;20089.10;
06311200000;Лугинський р-н;4868.10;;21425.90;10249.50;
03308200000;Луцький р-н;;2427.50;85353.30;35380.90;
06312200000;Любарський р-н;4008.30;;42138.20;16469.00;
15316200000;Любашівський р-н;7907.10;;39082.60;18454.70;
03309200000;Любешівський р-н;14113.90;;66818.20;20910.40;
03310200000;Любомльський р-н;11766.20;;67105.20;23307.30;
05309200000;Маp'їнський р-н;8655.40;;76554.70;50152.90;
04307200000;Магдалинiвський р-н;;;47541.70;20513.70;
10314200000;Макарiвський р-н;;1448.00;55135.70;22729.90;
06313200000;Малинський р-н;2053.60;;26458.50;11681.70;
11310200000;Маловисківський р-н;;;31530.00;18275.10;
03311200000;Маневицький р-н;17740.50;;92265.20;31865.70;
23311200000;Манькiвський р-н;2464.60;;34089.40;17186.80;
12307200000;Марківський р-н;1561.70;;22624.90;9261.40;
16313200000;Машівський р-н;;6091.70;23834.10;11964.10;
04308200000;Межiвський р-н;1971.20;;28299.30;14773.90;
08310200000;Мелітопольський р-н;13467.90;;61992.40;29751.60;
25311200000;Менський р-н;8882.80;;38872.20;23009.40;
13309200000;Миколаївський р-н (Львівська обл.);14717.80;;66791.40;32635.90;
14314200000;Миколаївський р-н (Миколаївська обл.);1382.50;;41260.10;18444.30;
15317200000;Миколаївський р-н (Одеська обл.);3494.20;;26308.90;9694.10;
16314200000;Миргородський р-н;731.50;;34818.50;20162.80;
10315200000;Миронiвський р-н;;8433.00;43291.30;21242.50;
